#,version_$1x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,trx_short_$1x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,255,255,255,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,trx_open_$1x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,255,255,255,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,trx_gndshort_$1x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,255,255,255,255,255,255,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,fullraw_cap_max_$18x39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,820,870,902,869,899,866,896,868,898,872,900,870,902,872,908,884,927,933,876,844,870,841,868,835,868,840,871,840,869,837,865,833,866,837,864,837,815,464,,,,,,,,,,,,,,,,,,
725,886,855,883,851,882,850,880,854,883,856,886,856,885,871,887,859,910,868,876,844,869,840,867,835,867,839,871,840,868,837,864,832,865,838,865,839,876,823,,,,,,,,,,,,,,,,,,
812,879,852,882,848,880,846,875,850,880,852,881,851,880,850,881,852,895,852,875,843,869,839,865,834,866,838,869,839,868,835,863,831,864,837,864,839,873,834,,,,,,,,,,,,,,,,,,
815,882,854,883,850,880,848,878,851,882,855,882,853,882,853,881,852,906,850,877,846,871,841,868,836,869,841,872,842,869,838,865,833,866,839,866,841,876,832,,,,,,,,,,,,,,,,,,
813,879,853,882,849,879,848,879,851,881,854,882,852,881,849,879,848,897,845,877,845,870,840,867,835,868,841,871,841,869,837,865,833,867,839,866,841,876,827,,,,,,,,,,,,,,,,,,
817,880,854,883,851,882,850,880,852,882,854,882,853,881,849,879,848,900,844,880,849,874,843,869,838,870,842,873,842,871,839,868,836,869,841,869,843,877,834,,,,,,,,,,,,,,,,,,
813,879,852,882,849,880,848,877,850,880,853,881,851,879,848,878,847,874,843,879,849,873,843,869,838,870,843,874,843,871,840,867,835,869,842,868,842,878,837,,,,,,,,,,,,,,,,,,
818,886,852,879,847,877,845,875,849,879,851,879,851,878,845,875,844,871,840,878,847,872,842,868,837,869,840,870,840,868,837,865,833,867,839,866,840,875,839,,,,,,,,,,,,,,,,,,
794,716,861,878,846,876,844,873,849,877,849,878,848,876,844,874,843,871,839,877,847,871,841,868,835,868,840,870,839,867,836,865,833,867,839,867,841,876,845,,,,,,,,,,,,,,,,,,
798,717,859,876,844,874,843,872,845,875,848,876,847,875,843,872,841,869,837,877,847,872,842,869,838,869,841,871,840,868,837,866,835,869,842,869,843,878,872,,,,,,,,,,,,,,,,,,
811,881,846,873,842,872,841,870,843,872,845,873,844,872,840,869,838,866,834,875,845,870,842,867,835,868,840,870,839,868,836,865,834,868,840,868,842,877,862,,,,,,,,,,,,,,,,,,
806,871,844,874,842,872,840,870,843,872,845,873,844,872,841,870,838,866,834,876,846,872,842,869,838,870,844,872,841,869,836,865,836,869,842,870,844,880,858,,,,,,,,,,,,,,,,,,
